fsize,uhhnum,uleader,subsispercent,poor,soccap,market,others,localrules,college,literate,fracinterest,fracecon,ownland,statefor,enforce,india,kenya,mad,nepal,uganda
22,111,1,0.9459459,0.3153153,4,240.833,1,1,0.0030303,0.2727273,0.1940709,0.5101859,0.9099099,1,0,0,0,0,1,0
30,36,0,1,0,2,130,1,0,0,0.1639344,0.2777778,0,1,1,0,0,0,0,1,0
35,93,0,0.9677419,0.3225806,0,310,1,1,0,0.0764818,0.1209718,0.5041046,0.8602151,1,1,0,0,0,1,0
20,36,0,1,0,2,130,1,0,0,0.1639344,0.2777778,0,1,1,0,0,0,0,1,0
8,56,0,1,0,7,1,0,1,0,0.1948052,0,0,1,1,1,0,0,0,1,0
8,56,0,1,0,7,1,0,0,0,0.1948052,0,0,1,1,1,0,0,0,1,0
2.8,5,1,0,0.8,4,46,1,1,0,0.24,0,0.32,1,1,1,0,0,0,1,0
50,9,0,1,0,0,480,1,0,0,0.1612903,0,0,1,1,0,0,0,0,1,0
50,19,0,1,0,0,460,1,0,0,0.1153846,0,0,1,1,0,0,0,0,1,0
65,86,0,0.9651163,0.3023256,0,180,1,0,0.0048701,0.1785714,0.1500581,0.4218497,0.9651163,1,0,0,0,0,1,0
10,50,0,0.92,0.32,0,165,0,0,0.0079156,0.2585752,0.2727321,0.4352,0.94,1,0,0,0,0,1,0
198,144,0,1,0.25,0,172.5,1,0,0.0028169,0.1464789,0.0540124,0.4340278,0.9791667,1,1,0,0,0,1,0
15,106,0,0,0,3,126,0,0,0.0115237,0.3072983,0,0,0.990566,1,0,0,0,0,1,0
225,152,0,0.7828947,0.2631579,2,171.818,0,0,0.0206074,0.2353579,0.3654818,0.434124,0.9671053,1,0,0,0,0,1,0
2,17,0,0,0,3,150,0,0.333333,0.0067568,0.2567568,0,0,1,1,1,0,0,0,1,0
5,6,0,1,0,4,30,0,1,0,0.0810811,0,0,1,1,0,0,0,0,1,0
91,641,0,1,0.3354134,0,45.4167,0,0,0.0074492,0.2174351,0.0806949,0.5373332,0.8205928,1,0,0,0,0,1,0
9,9,1,1,0.1111111,0,150,1,1,0,0.1428571,0,0.1975309,0.8888889,1,0,0,0,0,1,0
4,49,0,1,0,0,135,0,0,0,0.0833333,0,0,1,1,0,0,0,0,1,0
63,641,0,1,0.3354134,0,45.4167,1,0,0.0074492,0.2174351,0.0806949,0.5373332,0.8205928,1,0,0,0,0,1,0
13.4,622,0,1,0.181672,0,21.6667,0,1,0.0102916,0.2047599,0.0562029,0.4922767,0.9180064,1,1,0,0,0,1,0
29,95,1,1,0,2,33.75,0,1,0.0054745,0.0839416,0.099723,0,1,1,1,0,0,0,1,0
147,641,0,1,0.3354134,0,45.4167,1,0,0.0074492,0.2174351,0.0806949,0.5373332,0.8205928,1,0,0,0,0,1,0
84,665,0,1,0.518797,0,23,1,0,0.0115694,0.3307344,0.0267013,0.5289434,0.9142857,1,1,0,0,0,1,0
5,5,0,1,0,0,120,1,1,0,0.173913,0,0,1,1,0,0,0,0,1,0
203,665,0,1,0.518797,0,23,0,1,0.0115694,0.3307344,0.0267013,0.5289434,0.9142857,1,1,0,0,0,1,0
300,369,0,1,0.5149052,0,85,1,0,0.0056837,0.0508191,0.0214452,0.5462651,0.8048781,1,0,0,0,0,1,0
7.2,9,0,1,0,0,135,1,1,0,0.1458333,0,0,1,1,0,0,0,0,1,0
5.5,10,0,1,0,0,120,1,1,0,0.0689655,0,0,1,1,1,0,0,0,1,0
4.5,8,0,1,0,2,37.5,1,1,0.02,0.1,0,0,1,1,0,0,0,0,1,0
5.6,8,1,1,0,6,135,1,1,0,0.0444444,0,0,1,1,1,0,0,0,1,0
175,622,0,1,0.181672,0,21.6667,1,0,0.0102916,0.2047599,0.0562029,0.4922767,0.9180064,1,1,0,0,0,1,0
5.4,10,0,1,0,0,180,1,1,0,0.1515152,0,0,1,1,1,0,0,0,1,0
7,7,0,1,0,4,30,0,1,0.0212766,0.0638298,0,0,1,1,0,0,0,0,1,0
8,7,1,1,0,4,30,0,1,0.02,0.12,0,0,1,1,1,0,0,0,1,0
2.5,6,0,1,0,0,150,1,1,0,0.1111111,0,0,1,1,0,0,0,0,1,0
4.6,7,1,1,0,0,10,0,1,0,0.6666667,0,0,1,1,1,0,0,0,1,0
8.2,22,0,1,0.0454545,0,30,0,1,0.0724638,0.6376812,0,0.2438016,1,1,1,0,0,0,1,0
10.7,8,1,1,0,0,12.5,0,1,0.046875,0.671875,0,0,1,1,1,0,0,0,1,0
125.3,152,0,0.9407895,0.2631579,2,510,1,1,0.0032432,0.3286487,0.1114093,0.4428671,1,1,1,0,0,0,1,0
12.5,9,1,1,0,0,10,0,1,0.015873,0.6666667,0,0,1,1,1,0,0,0,1,0
302,162,0,0.8641976,0.3703704,4,47,1,0,0.0056625,0.2208381,0.2625391,0.5237007,0.6975309,1,1,0,0,0,1,0
103.9,82,0,0.3292683,0.1219512,2,780,0,1,0.0134831,0.2359551,0.4417014,0.2950625,1,1,0,0,0,0,1,0
10.4,9,1,1,0,0,15,0,1,0,0.46875,0,0,1,1,1,0,0,0,1,0
12,8,1,1,0,0,10,0,1,0,0.4423077,0,0,1,1,1,0,0,0,1,0
9.8,9,1,1,0.7777778,0,17.5,0,1,0.1911765,0.4705882,0,0.345679,1,1,1,0,0,0,1,0
9.9,8,1,1,0,0,10,0,1,0.0357143,0.5357143,0,0,1,1,1,0,0,0,1,0
133.6,262,0,1,0.3969466,0,72,1,1,0.0156544,0.3193488,0.2144398,0.513723,0.8358778,1,1,0,0,0,1,0
146,484,1,1,0.1033058,5,127.5,1,1,0.0170144,0.6224719,0,0.2593147,0.9979339,1,1,0,0,0,1,0
9,9,1,1,0.4444444,4,150,0,1,0,0.3661972,0,0.4938271,0.8888889,1,0,0,0,0,1,0
77,236,1,0.7415254,0.3601695,0,37,1,1,0.0236008,0.2258935,0.3885348,0.5019751,0.6525424,1,1,0,0,0,1,0
0.9,27,1,0,0.5925926,1,45,0,1,0.0071429,0.4571429,0,0.5486968,1,1,0,0,0,0,1,0
98,1288,1,0.2267081,0.25,0,33,0,0,0.1164235,0.7184104,0.3792068,0.6550155,0.9006211,1,0,0,0,0,1,0
26,65,0,1,0.1538462,3,33.75,0,1,0,0.5641791,0,0.3995266,1,1,1,0,0,0,1,0
17.3,87,0,0.5057471,0.5977011,1,35,0,1,0.0433996,0.6256781,0.4999339,0.480909,0.9885057,1,0,0,0,0,1,0
15,117,1,0.8888889,0.1538462,2,48,0,1,0.0814696,0.7076677,0.2244967,0.3667178,0.948718,1,1,0,0,0,1,0
125,75,0,1,0.28,0,240,0,0,0.0217984,0.506812,0,0.6567111,0.9466667,1,0,0,0,0,1,0
118,732,0,0.6953552,0.5546448,0,56.6667,0,1,0.0194216,0.381465,0.47042,0.5733076,0.9357923,1,1,0,0,0,1,0
373.5,311,0,1,0.1286174,0,25,0,1,0.0661964,0.6695605,0.1947457,0.3279536,0.0032154,1,1,0,0,0,1,0
938,483,1,0.8385093,0.4886128,0,70.7143,0,1,0.0219124,0.4681275,0.389097,0.615014,0.8530021,1,1,0,0,0,1,0
55,148,0,1,0.3310811,0,25,0,1,0.0062762,0.4341004,0.2033419,0.6545836,0.9594595,1,1,0,0,0,1,0
103.3,64,0,1,0.078125,0,30,0,1,0.0457317,0.4878049,0.21875,0.3833008,0.90625,1,1,0,0,0,1,0
161,183,0,1,0.0382514,0,45,0,1,0.0285442,0.3701237,0.1033175,0.2434232,0.9617487,1,1,0,0,0,1,0
167,1754,0,0.4846066,0.3705815,4,62.5,0,0,0.1205911,0.5474877,0.5533392,0.5258285,0.877423,1,1,0,0,0,1,0
40.23,49,1,1,0.3061225,4,120,0,1,0,0.6254296,0,0.5022907,0.9795918,1,1,0,0,0,1,0
142.64,87,1,0.9195402,0.3793103,4,150,0,1,0.0017889,0.6189624,0.2573881,0.5778835,0.9195402,1,1,0,0,0,1,0
167,1754,0,0.4846066,0.3705815,4,62.5,0,1,0.1205911,0.5474877,0.5533392,0.5258285,0.877423,1,1,0,0,0,1,0
155,187,0,0.7219251,0.3208556,0,15,1,1,0.0155925,0.8544698,0.4733823,0.634848,0.6417112,1,1,0,0,0,1,0
241,505,1,0.7524753,0.2475248,0,42.5,0,1,0.1187229,0.6584005,0.4784417,0.5019116,1,1,1,0,0,0,1,0
148,167,0,0.8143712,0.5089821,4,44,0,1,0.006654,0.5769962,0.4857554,0.6117107,0.8502994,1,1,0,0,0,1,0
25.9,270,0,0.9851852,0.2407407,0,17.5,0,1,0.0809769,0.6150386,0.0291906,0.5096022,0.9888889,1,1,0,0,0,1,0
25.5,54,0,0.9259259,0.1481481,3,10,0,1,0.0901639,0.6147541,0.1371742,0.3930041,0.962963,1,0,0,0,0,1,0
140,273,0,0.952381,0.4395604,2,30,0,1,0.0116927,0.7243875,0.0907029,0.6308954,0.9230769,1,1,0,0,0,1,0
215,837,0,0.9737157,0.3584229,0,70,0,1,0.0404531,0.6055825,0.0997538,0.6069352,0.9259259,1,1,0,0,0,1,0
